frame_num,rbt_ind,tx,ty,tz,rw,rx,ry,rz
3,7,0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
3,8,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,9,-0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
3,10,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,11,0.000000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
3,12,-3.797224,3.801686,4.719009,0.795026,0.552713,-0.202636,-0.146220
3,13,0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
3,14,0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,15,-0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
3,16,-0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,17,0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
3,18,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,19,-0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
3,20,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3,21,0.000000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
3,22,1.346659,4.807776,5.502265,1.000000,0.000000,-0.000000,-0.000000
3,23,7.261381,0.653414,6.101530,0.389896,-0.794576,-0.031882,0.464343
4,0,-1.161703,4.384570,-22.608996,0.025561,-0.002312,-0.995604,-0.090080
4,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,2,8.159041,7.389158,17.046887,0.788316,0.586861,0.053628,-0.176853
4,3,0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,4,0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,5,-0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,6,-0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,7,0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,8,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,9,-0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,10,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,11,0.000000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,12,-9.912939,8.441574,15.769006,0.493501,0.618185,-0.611246,0.026112
4,13,0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,14,0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,15,-0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,16,-0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,17,0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,18,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,19,-0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,20,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
4,21,0.000000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
4,22,4.203643,-1.392282,-10.027597,0.999999,-0.000056,0.000199,-0.001088
4,23,5.836025,-4.241654,24.665413,0.389896,-0.794576,-0.031882,0.464343
5,0,0.822517,3.083240,-10.712472,-0.037990,0.004911,-0.991021,-0.128100
5,1,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,2,8.392602,8.349003,21.112373,0.788316,0.586861,0.053628,-0.176853
5,3,0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,4,0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,5,-0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,6,-0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,7,0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,8,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,9,-0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,10,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,11,0.000000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,12,-15.755394,11.024209,25.058421,0.493501,0.618185,-0.611246,0.026112
5,13,0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,14,0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,15,-0.500000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,16,-0.700000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,17,0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,18,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,19,-0.375000,-0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,20,0.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
5,21,0.000000,0.750000,0.000000,1.000000,0.000000,0.000000,0.000000
5,22,3.124738,3.132727,-7.869156,1.000000,-0.000000,0.000000,-0.000000
5,23,6.557606,-1.763542,15.267520,0.389896,-0.794576,-0.031882,0.464343
